metric,n_total,n_mapped,n_excluded,observed_mean_on_mapped,overall_lower_bound,overall_upper_bound
main_hit,1970,1343,627,0.9076693968726731,0.6187817258883249,0.9370558375634518
exact_set_match,1970,1343,627,0.4787788533134773,0.32639593908629444,0.6446700507614214
