,Dim1,Dim2
성학대,-0.8601105036567925,-0.03326559738139925
신체학대,0.2850350440419213,-0.2790608446689009
정서학대,0.15579681524962327,-0.03440828263762089
방임,0.21513442653994655,0.7232691666796572
