variant,desc,n_words_total,ca_ok,n_words_in_ca,total_inertia,dim1_explained_pct,dim2_explained_pct,procrustes_r2_vs_baseline,procrustes_rmsd_vs_baseline,ss_diff,jaccard_topwords_vs_baseline
baseline_project_tokenize_korean,"project tokenize_korean() (N/V/Adj, len>=2)",2280,1,200,0.3779692841115903,54.82714002802258,33.60656630396536,1.0,6.727507242144006e-17,3.6207482954480034e-32,1.0
no_1char_filter,"Okt N/V/Adj, len>=1 (1글자 제거 OFF)",2387,1,200,0.3452506241393664,56.864550732148444,31.215603980727607,0.9911695230567479,0.03322363041430775,0.008830476943252119,0.680672268907563
nouns_only,"Okt Noun only, len>=2",1364,1,200,0.33160099674790683,55.09016287595426,30.88740302724686,0.9866264043779127,0.04088642137386083,0.013373595622087231,0.3793103448275862
include_adverbs,"Okt N/V/Adj/Adv, len>=2",2176,1,200,0.33745361307182437,57.035759671821765,31.350884169615274,0.9979908937090686,0.015847343195830293,0.002009106290931429,0.8018018018018018
whitespace,"simple whitespace tokenizer, len>=2",6111,1,200,0.5968321965872838,56.82521319235223,33.14763179501882,0.9902171787918371,0.03496931013074692,0.009782821208162873,0.0610079575596817
