fold,n_test,jsd_mean,cosine_mean,l1_mean,kl_mean,top1_acc,entropy_true_mean,entropy_pred_mean,gap_true_mean
1,394,0.08672818095633804,0.859614248337517,0.5302193785116494,0.3700193547442446,0.6472081218274112,0.5304375346988349,0.7214008713384422,0.6016912513683841
2,394,0.0788116567307789,0.8783055254575008,0.4936156244832875,0.3294648495847277,0.6776649746192893,0.5159250055637398,0.6809630135293552,0.615214334505796
3,394,0.08293510671491973,0.8657836711548642,0.5127540136794769,0.3745432856613281,0.6573604060913706,0.5143618325796193,0.6615247082658128,0.6082181892187429
4,394,0.07444788696623686,0.8841289199948915,0.4629336014509475,0.315716814991851,0.6979695431472082,0.5024082623604108,0.6524106059780127,0.6209970333807441
5,394,0.08700874772726536,0.8655052014063455,0.5147485556635817,0.3767063149392361,0.6548223350253807,0.5075303137792985,0.6926506118576788,0.6225928156399908
