metric,n_included,n_excluded,mean_included,mean_excluded,median_included,median_excluded
합계점수,1343,627,49.36783320923306,32.984051036682615,49.0,30.0
entropy_A,1343,627,0.23156246833757346,1.11938246717944,0.11907894009217229,1.3862943611198906
gap_A,1343,627,0.81131533124789,0.19055291552610032,0.973582215917029,0.0
n_utterances,1343,627,59.51824274013403,55.99043062200957,60.0,56.0
n_tokens,1343,627,147.21593447505583,118.87878787878788,136.0,113.0
