fold,n_test,kl_mean,kl_median,cosine_mean,brier_mean,top1_acc
1,297,0.33269338627772194,0.2122962744635515,0.9018871301183049,0.028489134431527577,0.7777777777777778
2,296,0.3411149183988964,0.21398899790391476,0.905771526267618,0.027419199543494838,0.831081081081081
3,296,0.32485795748010327,0.21129229299155391,0.9065761297441167,0.027631989826842264,0.8209459459459459
4,296,0.3640987428810016,0.22347855835958186,0.9104761759821208,0.026898674654841557,0.8108108108108109
5,296,0.387778804765726,0.2498134921282143,0.8990559538660503,0.02956678918654454,0.8006756756756757
ALL_OOF,1481,0.3500970027603637,0.2204083178291537,0.9047514478458262,0.028001487020144336,0.8082376772451046
