word,성학대,신체학대,정서학대,방임
호흡,1.0,3.0,2.0,0.0
혹도,0.0,7.0,0.0,0.0
혹시,9.0,14.0,4.0,3.0
혼나다,41.0,127.0,95.0,49.0
혼내다,46.0,133.0,84.0,42.0
혼도,2.0,2.0,1.0,3.0
혼자,75.0,187.0,118.0,120.0
화가,92.0,269.0,110.0,75.0
화나다,65.0,240.0,94.0,48.0
화난,32.0,148.0,72.0,20.0
화내,2.0,9.0,6.0,3.0
화낼,3.0,44.0,17.0,4.0
화도,17.0,70.0,29.0,22.0
화만,1.0,14.0,7.0,0.0
화목,2.0,12.0,2.0,1.0
화상,2.0,6.0,1.0,3.0
화장,4.0,2.0,6.0,4.0
화장실,13.0,33.0,10.0,13.0
화장품,2.0,0.0,3.0,2.0
화제,1.0,1.0,3.0,0.0
화풀,0.0,10.0,2.0,1.0
화해,4.0,2.0,3.0,1.0
확실하다,2.0,2.0,1.0,1.0
확인,7.0,10.0,9.0,8.0
활동,3.0,4.0,5.0,4.0
활짝,3.0,6.0,2.0,0.0
회사,11.0,19.0,9.0,16.0
회사원,0.0,3.0,0.0,2.0
회초리,4.0,31.0,2.0,3.0
효자손,0.0,17.0,0.0,1.0
훈련,0.0,2.0,1.0,2.0
훌륭하다,0.0,2.0,3.0,0.0
훔치다,3.0,18.0,1.0,12.0
훨씬,3.0,11.0,7.0,3.0
휘두르다,0.0,10.0,1.0,0.0
휴대전화,3.0,7.0,1.0,4.0
휴대폰,30.0,48.0,24.0,33.0
휴지,0.0,6.0,1.0,2.0
흉터,0.0,5.0,0.0,2.0
흐르다,1.0,4.0,0.0,0.0
흔들다,2.0,10.0,3.0,0.0
흔적,0.0,7.0,0.0,0.0
흘리다,3.0,15.0,11.0,3.0
희망,1.0,4.0,0.0,4.0
희망이,0.0,2.0,2.0,2.0
힘내다,4.0,2.0,1.0,1.0
힘드다,31.0,64.0,51.0,37.0
힘들다,189.0,390.0,233.0,193.0
힘없다,1.0,2.0,0.0,2.0
