,Dim1,Dim2
성학대,-0.8521863635161285,-0.03770039368718754
신체학대,0.286986390281298,-0.2781929607648347
정서학대,0.15258251057108374,-0.03184443374135377
방임,0.20889611647812387,0.7183991444010934
