word
만졌어요
만지고
때려요
때렸어요
때려서
아저씨가
때리고
때릴
멍이
손으로
이상한
맞았어요
몸을
맞아서
때리는
없어서
발로
만져서
만지는
넣었어요
성기를
넣어서
알게
돈이
아저씨
빨래를
신고
만진
먹을
만난
찍었어요
만지려고
팬티
찍어서
사진을
사진
아무도
밥을
때려서요
벗기고
보여달라고
들었어요
싫다고
가슴
가슴이랑
아프게
벗고
밑에
냄새난다고
맞은
아저씨요
만져요
오빠가
만졌던
때릴까
넣고
멍들고
주먹으로
맞는
말로
모르는
옷을
그랬어요
소중한
병원에
맞을
머리랑
처음이었어요
가슴을
바빠서
사진이
아빠한테
없어서요
찍은
뺨을
다쳤어요
아저씨랑
생각날
만지라고
만질
때리면
입고
바지
아저씨가요
처음이에요
냄새나는
강제로
맞고
배가
멍들었어요
배를
신발을
학교도
무서워요
속옷
피멍이
입어요
상처가
머리를
보내달라고
성적
때리는데
번도
아까
만져달라고
때리거나
맞을까
화내고
멍만
욕하고
화를
다리를
무조건
화난
없으니까
보낸
저녁을
먹어서
찼어요
뒤에서
연락이
했어요
먹어요
할아버지
만나자고
변태
뽀뽀하고
종일
먹으라고
돈도
신경도
웃는
무섭고
소름
아빠요
만지기만
소리
움직이게
떠올라요
맞았을
인터넷에
관심이
더러운
관심
나가요
배고파서
빨래
손가락을
가슴도
들어와요
찍고
애들이
넣기도
만지게
벗으라고
뽀뽀했어요
아저씨예요
배고픈데
갔어요
병원
입에
알아서
들고
때리거든요
당했던
엄마요
싫었어요
카페
돌봐주는
입어야
보내라고
부분을
굶어요
때렸거든요
듣는다고
어떤
친구들이
배고파요
밥도
화나면
공부하라고
팔이랑
엉덩이를
있었던
없고
신발이
짓을
때리니까
사진도
팔을
아빠
마음에
대학생
도망쳤어요
만져서요
앱에서
지르고
작아서
있었는데
다닌
