,Dim1,Dim2
성학대,-0.8292594112393142,-0.02259630645924974
신체학대,0.23647883379502144,0.3036167594303828
정서학대,0.14273148300841745,0.0014972972575162623
방임,0.27883070360305323,-0.6392639484755442
