word
만지다
지고
멍
때리다
맞다
빨래
입다
아저씨
뽀뽀
가슴
사진
찍다
넣다
성기
짓
손
냄새
벗다
배고프다
그
벗기다
못_먹다
밑
발
화
옷
이상하다
뺨
팬티
병원
처음
만난
몸
신발
바지
등
굶다
상처
욕
내다
바쁘다
안_챙기다
피멍
주먹
속옷
안_들어오다
연락
밥
알
돈
대학생
더럽다
채팅
작다
다리
관심
안_써다
안_놀다
팔이
말로
생각나다
안_오다
먹다
엉덩이
머리
손가락
오빠
소중하다
앱
잔소리
강제
무섭다
키스
들다
고프다
집어넣다
부분
성적
팔
관계
화난
치료
사
지르다
무조건
신경
못_가다
고추
던지다
웃다
수치
안_돌보다
아무
변태
종일
바르다
화나다
보내다
떠오르다
온몸
안_데려가다
보여주다
피
빨갛다
너
못_움직이다
간
노래방
안_주다
이번
달라
소름
나가요
음식
비교
비슷하다
뭐라다
손바닥
깁스
메시지
성폭행
인스타
소리
끌어안다
나이
영상통화
할아버지
혀
학원
얼굴
쫓아내다
이후
막대기
풀이
안_써주다
안_행동
비싸다
축구
저녁
약
잡고
혹
스럽다
작아지다
부러지다
당하다
놀리다
징그럽다
넣기
지게
왕따
치료받다
술
나가다
파리채
버스
집도
돋다
안_만지다
지저분하다
못_오다
종아리
차려
부다
이유
멍청하다
못_챙기다
쌀
뼈
쫓아오다
버리다
심하다
경찰
식은땀
마구
만나다
차다
그때
안_쓰다
화낼
생리
차단
해달라다
안_사주다
지난주
닿다
사귀다
씻다
보라
용돈
새엄마
기사
지기
올리다
금
아래
대고
문자
벌리다
안_혼나다
